                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                  1.094,                 0.5401,                 1.2013,                0.92413,                0.90712,                0.94147,                 0.6295,                 1.2357,                 0.6946,                 1.3141,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.1022,                0.54199,                  1.207,                0.94395,                0.89362,                0.95408,                0.63397,                 1.2462,                0.62081,                 1.3145,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.0806,                0.51954,                 1.1889,                0.93197,                0.91489,                0.95725,                 0.6354,                 1.2659,                0.63807,                 1.3196,               5.96e-05,               5.96e-05,               5.96e-05
                     51,                  1.028,                0.50876,                 1.1771,                0.93426,                0.90713,                0.95398,                0.63987,                 1.2568,                 0.6462,                 1.3198,                  2e-05,                  2e-05,                  2e-05
                     52,                 1.0474,                0.52872,                  1.185,                0.92276,                0.88964,                 0.9277,                0.60039,                  1.322,                0.76866,                 1.3906,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.1471,                0.58656,                 1.2325,                0.94436,                0.90284,                0.95251,                0.62578,                 1.2878,                 0.6944,                 1.3757,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.1414,                 0.6006,                 1.2563,                0.78208,                0.87234,                0.84984,                0.58367,                 1.2276,                 0.9051,                 1.3137,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.1323,                0.59364,                 1.2503,                0.94005,                0.90426,                 0.9443,                0.62148,                 1.3237,                0.67541,                  1.363,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.1436,                0.59269,                 1.2382,                0.90445,                0.90632,                0.93455,                0.61324,                 1.2488,                0.67979,                  1.313,               0.000911,               0.000911,               0.000911
                     57,                 1.1526,                0.58533,                 1.2364,                0.95535,                 0.8617,                0.93681,                 0.6113,                 1.2617,                0.67866,                 1.3682,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.1704,                 0.5925,                 1.2434,                0.91844,                0.88298,                0.92259,                 0.6041,                  1.301,                0.78583,                 1.3644,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.1151,                0.56277,                 1.2209,                0.83526,                0.86305,                0.88399,                0.60091,                  1.239,                0.88567,                 1.3377,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.1607,                0.59683,                 1.2305,                 0.8757,                0.85106,                0.88478,                0.57308,                 1.3319,                0.99882,                 1.3889,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.1208,                 0.5792,                 1.2263,                0.95509,                0.88298,                0.93068,                0.61076,                  1.325,                0.74061,                 1.3838,               0.000812,               0.000812,               0.000812
                     62,                  1.108,                0.55687,                 1.2144,                0.96792,                0.88298,                0.94038,                0.62202,                 1.3076,                0.67369,                 1.3807,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.1073,                 0.5673,                 1.2393,                0.93312,                0.89065,                0.92628,                0.59883,                 1.3493,                0.77822,                  1.429,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.1378,                0.56506,                 1.2187,                0.93816,                0.84043,                0.90951,                 0.6144,                 1.2673,                0.78158,                 1.3751,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.1062,                0.56282,                 1.1937,                0.85707,                0.84043,                 0.8941,                0.58799,                 1.3254,                0.78865,                 1.3746,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.0976,                 0.5332,                 1.1985,                0.93281,                0.82979,                0.88797,                0.58602,                 1.3403,                0.86058,                 1.4044,               0.000713,               0.000713,               0.000713
                     67,                 1.1007,                0.53008,                 1.1978,                0.90656,                0.87234,                0.90767,                0.61017,                 1.2925,                0.73587,                 1.3764,              0.0006932,              0.0006932,              0.0006932
